session	task	score	describer
01	1	93	A
01	2	95	A
01	3	99	A
01	4	69	A
01	5	98	B
01	6	91	B
01	7	97	B
01	8	93	B
01	9	99	A
01	10	60	B
01	11	99	A
01	12	97	B
01	13	92	A
01	14	89	B
02	1	91	A
02	2	96	A
02	3	99	A
02	4	99	A
02	5	94	B
02	6	87	B
02	7	100	B
02	8	100	B
02	9	98	A
02	10	89	B
02	11	97	A
02	12	99	B
02	13	91	A
02	14	94	B
03	1	90	A
03	2	96	A
03	3	99	A
03	4	91	A
03	5	97	B
03	6	96	B
03	7	99	B
03	8	89	B
03	9	99	A
03	10	95	B
03	11	97	A
03	12	98	B
03	13	98	A
03	14	89	B
04	1	97	A
04	2	93	A
04	3	95	A
04	4	94	A
04	5	96	B
04	6	98	B
04	7	100	B
04	8	96	B
04	9	99	A
04	10	98	B
04	11	98	A
04	12	94	B
04	13	94	A
04	14	93	B
05	1	96	A
05	2	88	A
05	3	75	A
05	4	95	A
05	5	95	B
05	6	82	B
05	7	95	B
05	8	93	B
05	9	92	A
05	10	96	B
05	11	97	A
05	12	96	B
05	13	96	A
05	14	65	B
06	1	83	A
06	2	84	A
06	3	98	A
06	4	97	A
06	5	97	B
06	6	90	B
06	7	97	B
06	8	96	B
06	9	94	A
06	10	65	B
06	11	99	A
06	12	96	B
06	13	97	A
06	14	97	B
07	1	97	A
07	2	92	A
07	3	88	A
07	4	95	A
07	5	88	B
07	6	89	B
07	7	92	B
07	8	91	B
07	9	83	A
07	10	94	B
07	11	98	A
07	12	97	B
07	13	96	A
07	14	85	B
08	1	94	A
08	2	93	A
08	3	95	A
08	4	97	A
08	5	92	B
08	6	96	B
08	7	98	B
08	8	97	B
08	9	97	A
08	10	98	B
08	11	99	A
08	12	99	B
08	13	96	A
08	14	89	B
09	1	93	A
09	2	95	A
09	3	95	A
09	4	91	A
09	5	87	B
09	6	89	B
09	7	96	B
09	8	97	B
09	9	90	A
09	10	92	B
09	11	98	A
09	12	97	B
09	13	98	A
09	14	91	B
10	1	96	A
10	2	94	A
10	3	91	A
10	4	99	A
10	5	97	B
10	6	95	B
10	7	96	B
10	8	99	B
10	9	91	A
10	10	96	B
10	11	99	A
10	12	96	B
10	13	99	A
10	14	88	B
11	1	93	A
11	2	87	A
11	3	95	A
11	4	85	A
11	5	97	B
11	6	77	B
11	7	94	B
11	8	99	B
11	9	93	A
11	10	99	B
11	11	98	A
11	12	93	B
11	13	96	A
11	14	80	B
12	1	92	A
12	2	98	A
12	3	98	A
12	4	97	A
12	5	91	B
12	6	94	B
12	7	98	B
12	8	99	B
12	9	99	A
12	10	97	B
12	11	99	A
12	12	95	B
12	13	92	A
12	14	96	B
