,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
0,10.0,1.0,5.0,0.0,133.934123993,0.5814745103,0.0,g1t10,1.0,10.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
1,10.0,1.0,6.0,1.0,147.690870703,-0.917100713107,2.0,g1t10,1.0,10.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0
2,12.0,1.0,7.0,0.0,125.264306682,-0.569677286402,1.0,g1t12,1.0,12.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,1.0,0.0
3,12.0,1.0,7.0,1.0,141.794658763,0.467111993374,2.0,g1t12,1.0,12.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,0.0,1.0
4,13.0,1.0,6.0,0.0,119.750838433,0.533700625784,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0
5,13.0,1.0,6.0,1.0,140.792594037,-0.602364327664,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0
6,3.0,2.0,6.0,0.0,207.3490953,0.520696490767,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0
7,3.0,2.0,6.0,1.0,103.307162572,0.520696490767,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,0.0,3.0
8,4.0,2.0,23.0,0.0,212.494660496,-0.24106040427,6.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0
9,4.0,2.0,19.0,1.0,107.775497935,-0.249488248302,3.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0
10,7.0,2.0,8.0,0.0,217.123516558,0.74371948577,1.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
11,7.0,2.0,8.0,1.0,106.960824252,-0.248865555462,3.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0
12,8.0,2.0,57.0,0.0,230.41396285,0.147361743412,1.0,g2t8,2.0,8.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0
13,8.0,2.0,52.0,1.0,109.722296322,0.174279721952,4.0,g2t8,2.0,8.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0
14,10.0,2.0,28.0,0.0,223.187449144,0.314821022164,3.0,g2t10,2.0,10.0,2.0,4.0,3.0,5.0,3.0,5.0,1.0,5.0,0.0,1.0,0.0
15,10.0,2.0,28.0,1.0,107.674239304,-0.267300357487,4.0,g2t10,2.0,10.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0
16,11.0,2.0,9.0,0.0,207.100460722,-0.649041710103,2.0,g2t11,2.0,11.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0
17,11.0,2.0,6.0,1.0,119.870296901,-0.235906251531,1.0,g2t11,2.0,11.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,0.0,4.0,1.0
18,12.0,2.0,8.0,0.0,215.614644507,0.744627939739,3.0,g2t12,2.0,12.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0
19,12.0,2.0,11.0,1.0,103.758750767,-0.186934201045,0.0,g2t12,2.0,12.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,5.0,0.0,2.0,0.0
20,13.0,2.0,15.0,0.0,210.468237386,-0.421946864586,2.0,g2t13,2.0,13.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,1.0,0.0,1.0
21,13.0,2.0,7.0,1.0,113.876894354,0.335757029191,4.0,g2t13,2.0,13.0,2.0,3.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,3.0,4.0
22,14.0,2.0,9.0,0.0,210.432930722,-0.455539440492,5.0,g2t14,2.0,14.0,1.0,5.0,3.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0
23,14.0,2.0,9.0,1.0,105.510274544,0.367534342147,3.0,g2t14,2.0,14.0,1.0,5.0,3.0,5.0,5.0,2.0,4.0,2.0,0.0,4.0,2.0
24,1.0,3.0,16.0,0.0,184.15059242,0.461324797179,0.0,g3t1,3.0,1.0,1.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0
25,1.0,3.0,15.0,1.0,128.562371105,0.461324797179,0.0,g3t1,3.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0
26,4.0,3.0,11.0,0.0,189.320906668,-0.496407256647,1.0,g3t4,3.0,4.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,0.0,0.0
27,4.0,3.0,10.0,1.0,142.627927646,-0.477092169127,2.0,g3t4,3.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0
28,8.0,3.0,7.0,0.0,209.130402204,0.214331019884,0.0,g3t8,3.0,8.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0
29,8.0,3.0,12.0,1.0,127.158776153,-0.23913067129,4.0,g3t8,3.0,8.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0
30,10.0,3.0,12.0,0.0,207.154637277,0.421213350299,1.0,g3t10,3.0,10.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
31,10.0,3.0,20.0,1.0,129.638494459,0.538633884768,4.0,g3t10,3.0,10.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,3.0,1.0,0.0,1.0
32,12.0,3.0,10.0,0.0,188.582701573,0.530496700201,1.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0
33,12.0,3.0,16.0,1.0,131.895404812,0.455555427422,4.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
34,13.0,3.0,13.0,0.0,195.22581452,-0.334702415192,6.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0
35,13.0,3.0,11.0,1.0,142.881542431,0.581576291754,3.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0
36,3.0,4.0,10.0,0.0,91.318737482,-0.49173191461,3.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0
37,3.0,4.0,7.0,1.0,104.640347208,0.186619747588,1.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0
38,4.0,4.0,9.0,0.0,92.8348338229,0.55801634276,0.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0
39,4.0,4.0,7.0,1.0,114.729814466,0.55801634276,0.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
40,5.0,4.0,6.0,0.0,94.5337259453,0.509754867648,3.0,g4t5,4.0,5.0,2.0,3.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0
41,5.0,4.0,10.0,1.0,104.910245056,0.424581398955,5.0,g4t5,4.0,5.0,2.0,3.0,0.0,5.0,4.0,5.0,0.0,3.0,4.0,0.0,0.0
42,7.0,4.0,10.0,0.0,95.9966805436,0.474776989723,4.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
43,7.0,4.0,14.0,1.0,106.138229745,-0.419764617795,5.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
44,8.0,4.0,19.0,0.0,94.9646553395,-0.260291428091,2.0,g4t8,4.0,8.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0
45,8.0,4.0,24.0,1.0,109.60645162,0.378610208346,3.0,g4t8,4.0,8.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0
46,9.0,4.0,9.0,0.0,100.769114557,-0.326822944089,2.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,4.0,5.0,4.0,4.0,0.0,1.0,0.0
47,9.0,4.0,8.0,1.0,102.695566042,0.317818038923,3.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,0.0,1.0,0.0
48,10.0,4.0,25.0,0.0,98.0948963048,0.275831069079,5.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
49,10.0,4.0,27.0,1.0,108.92352007,0.270783156422,4.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,2.0,3.0,4.0,0.0,2.0,1.0
50,11.0,4.0,12.0,0.0,100.964216389,0.5427786883,0.0,g4t11,4.0,11.0,0.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,1.0,0.0,1.0
51,11.0,4.0,10.0,1.0,113.215963076,0.573504994248,1.0,g4t11,4.0,11.0,0.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,0.0,2.0
52,12.0,4.0,10.0,0.0,101.078371583,-0.339300206878,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0
53,12.0,4.0,22.0,1.0,101.815954102,0.323595397423,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,0.0
54,13.0,4.0,16.0,0.0,98.2126325542,-0.39190336699,6.0,g4t13,4.0,13.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
55,13.0,4.0,15.0,1.0,101.992967148,0.348496616986,5.0,g4t13,4.0,13.0,0.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
