,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,speaker,bored_with_game,difficult_for_partner_to_speak,contributes_to_successful_completion,engaged_in_game,gives_encouragement,making_self_clear,planning_what_to_say,dislikes_partner
0,10.0,1.0,5.0,0.0,0.242759675785,0.322602221402,0.0,g1t10,1.0,10.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0
1,10.0,1.0,6.0,1.0,0.165475470373,0.918892291369,1.0,g1t10,1.0,10.0,1.0,0.0,2.0,3.0,5.0,2.0,3.0,0.0,1.0
2,12.0,1.0,7.0,0.0,0.205926644,-0.642171884256,3.0,g1t12,1.0,12.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,0.0
3,12.0,1.0,7.0,1.0,0.171901794063,0.472672092554,0.0,g1t12,1.0,12.0,1.0,0.0,3.0,4.0,5.0,4.0,2.0,4.0,1.0
4,13.0,1.0,6.0,0.0,0.230338725032,0.383697396436,1.0,g1t13,1.0,13.0,0.0,2.0,1.0,4.0,4.0,5.0,4.0,3.0,1.0
5,13.0,1.0,6.0,1.0,0.199583763263,0.614443046704,1.0,g1t13,1.0,13.0,1.0,0.0,4.0,3.0,5.0,4.0,3.0,1.0,0.0
6,3.0,2.0,6.0,0.0,0.0925488822708,-0.724241948865,1.0,g2t3,2.0,3.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,2.0,0.0
7,3.0,2.0,6.0,1.0,0.112783931761,-0.228524175882,0.0,g2t3,2.0,3.0,1.0,0.0,1.0,4.0,5.0,3.0,4.0,1.0,3.0
8,4.0,2.0,23.0,0.0,0.113993007166,0.288048762694,6.0,g2t4,2.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,0.0
9,4.0,2.0,19.0,1.0,0.0993720764512,0.379504666007,1.0,g2t4,2.0,4.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0
10,7.0,2.0,8.0,0.0,0.091775613986,0.319501052364,0.0,g2t7,2.0,7.0,0.0,0.0,1.0,5.0,5.0,4.0,5.0,3.0,0.0
11,7.0,2.0,8.0,1.0,0.0987069552257,0.319501052364,0.0,g2t7,2.0,7.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0
12,8.0,2.0,57.0,0.0,0.161635438459,0.14824179195,0.0,g2t8,2.0,8.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,2.0,0.0
13,8.0,2.0,52.0,1.0,0.0988781277221,-0.174079456073,5.0,g2t8,2.0,8.0,1.0,2.0,1.0,5.0,5.0,3.0,4.0,4.0,1.0
