,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,speaker,bored_with_game,difficult_for_partner_to_speak,contributes_to_successful_completion,engaged_in_game,gives_encouragement,making_self_clear,planning_what_to_say,dislikes_partner
0,10.0,1.0,5.0,0.0,0.0924259580548,0.550809184533,0.0,g1t10,1.0,10.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,3.0,0.0
1,10.0,1.0,6.0,1.0,0.0888636284743,0.550809184533,0.0,g1t10,1.0,10.0,1.0,0.0,2.0,3.0,5.0,2.0,3.0,0.0,1.0
2,12.0,1.0,7.0,0.0,0.0878475666112,-0.62520983236,1.0,g1t12,1.0,12.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,3.0,0.0
3,12.0,1.0,7.0,1.0,0.0827639341609,-0.463603706345,0.0,g1t12,1.0,12.0,1.0,0.0,3.0,4.0,5.0,4.0,2.0,4.0,1.0
4,13.0,1.0,6.0,0.0,0.0845868337972,0.772626119706,2.0,g1t13,1.0,13.0,0.0,2.0,1.0,4.0,4.0,5.0,4.0,3.0,1.0
5,13.0,1.0,6.0,1.0,0.0983142138682,-0.644019332386,1.0,g1t13,1.0,13.0,1.0,0.0,4.0,3.0,5.0,4.0,3.0,1.0,0.0
6,3.0,2.0,6.0,0.0,0.0709421156046,-0.919356139244,0.0,g2t3,2.0,3.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,2.0,0.0
7,3.0,2.0,6.0,1.0,0.0846264611824,-0.919356139244,0.0,g2t3,2.0,3.0,1.0,0.0,1.0,4.0,5.0,3.0,4.0,1.0,3.0
8,4.0,2.0,23.0,0.0,0.0727945569596,-0.314095139412,6.0,g2t4,2.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,4.0,0.0
9,4.0,2.0,19.0,1.0,0.0799544688256,0.348099060853,3.0,g2t4,2.0,4.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,1.0
10,7.0,2.0,8.0,0.0,0.0872985818182,-0.141306075248,2.0,g2t7,2.0,7.0,0.0,0.0,1.0,5.0,5.0,4.0,5.0,3.0,0.0
11,7.0,2.0,8.0,1.0,0.0798595544716,0.557494810858,2.0,g2t7,2.0,7.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0
12,8.0,2.0,57.0,0.0,0.0863359915229,-0.202940239409,6.0,g2t8,2.0,8.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,2.0,0.0
