,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
0,10.0,1.0,5.0,1.0,133.93412399337183,0.5814745102995575,0.0,g1t10,1.0,10.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0
1,10.0,1.0,6.0,0.0,147.6908707033432,-0.9171007131065309,2.0,g1t10,1.0,10.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
2,12.0,1.0,7.0,1.0,125.26430668163259,-0.5696772864023927,1.0,g1t12,1.0,12.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,0.0,1.0
3,12.0,1.0,7.0,0.0,141.79465876341536,0.46711199337435183,2.0,g1t12,1.0,12.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,1.0,0.0
4,13.0,1.0,6.0,1.0,119.7508384330314,0.5337006257840906,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0
5,13.0,1.0,6.0,0.0,140.79259403651105,-0.6023643276643624,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0
6,3.0,2.0,6.0,1.0,207.34909530008332,0.5206964907669338,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,0.0,3.0
7,3.0,2.0,6.0,0.0,103.3071625722048,0.5206964907669338,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0
8,4.0,2.0,23.0,1.0,212.49466049609623,-0.24106040427049777,6.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0
9,4.0,2.0,19.0,0.0,107.77549793502172,-0.24948824830163446,3.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0
10,7.0,2.0,8.0,1.0,217.12351655756677,0.743719485769842,1.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0
11,7.0,2.0,8.0,0.0,106.96082425167629,-0.24886555546184905,3.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
12,8.0,2.0,57.0,1.0,230.41396284974553,0.14736174341213898,1.0,g2t8,2.0,8.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0
13,8.0,2.0,52.0,0.0,109.72229632165543,0.1742797219522829,4.0,g2t8,2.0,8.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0
14,10.0,2.0,28.0,1.0,223.18744914440015,0.31482102216375024,3.0,g2t10,2.0,10.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0
15,10.0,2.0,28.0,0.0,107.67423930381703,-0.2673003574871294,4.0,g2t10,2.0,10.0,2.0,4.0,3.0,5.0,3.0,5.0,1.0,5.0,0.0,1.0,0.0
16,11.0,2.0,9.0,1.0,207.10046072182465,-0.6490417101026856,2.0,g2t11,2.0,11.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,0.0,4.0,1.0
17,11.0,2.0,6.0,0.0,119.87029690083621,-0.23590625153108832,1.0,g2t11,2.0,11.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0
18,12.0,2.0,8.0,1.0,215.61464450704432,0.7446279397393337,3.0,g2t12,2.0,12.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,5.0,0.0,2.0,0.0
19,12.0,2.0,11.0,0.0,103.75875076655372,-0.18693420104475306,0.0,g2t12,2.0,12.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0
20,13.0,2.0,15.0,1.0,210.46823738631394,-0.4219468645863979,2.0,g2t13,2.0,13.0,2.0,3.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,3.0,4.0
21,13.0,2.0,7.0,0.0,113.87689435438784,0.33575702919113865,4.0,g2t13,2.0,13.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0,1.0,0.0,1.0
22,14.0,2.0,9.0,1.0,210.4329307219847,-0.4555394404917038,5.0,g2t14,2.0,14.0,1.0,5.0,3.0,5.0,5.0,2.0,4.0,2.0,0.0,4.0,2.0
23,14.0,2.0,9.0,0.0,105.51027454420493,0.3675343421465235,3.0,g2t14,2.0,14.0,1.0,5.0,3.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0
24,1.0,3.0,16.0,1.0,184.15059241989854,0.4613247971791288,0.0,g3t1,3.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,0.0,1.0,0.0
25,1.0,3.0,15.0,0.0,128.56237110471818,0.4613247971791288,0.0,g3t1,3.0,1.0,1.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0
26,4.0,3.0,11.0,1.0,189.32090666841825,-0.4964072566468219,1.0,g3t4,3.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0
27,4.0,3.0,10.0,0.0,142.62792764623305,-0.47709216912687213,2.0,g3t4,3.0,4.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,0.0,0.0
28,8.0,3.0,7.0,1.0,209.1304022039467,0.21433101988359066,0.0,g3t8,3.0,8.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0
29,8.0,3.0,12.0,0.0,127.15877615307399,-0.2391306712900566,4.0,g3t8,3.0,8.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0
30,10.0,3.0,12.0,1.0,207.15463727721814,0.4212133502987087,1.0,g3t10,3.0,10.0,1.0,4.0,1.0,5.0,4.0,5.0,2.0,3.0,1.0,0.0,1.0
31,10.0,3.0,20.0,0.0,129.63849445867857,0.5386338847683703,4.0,g3t10,3.0,10.0,1.0,4.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
32,12.0,3.0,10.0,1.0,188.5827015733304,0.5304967002007261,1.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
33,12.0,3.0,16.0,0.0,131.89540481164371,0.45555542742195476,4.0,g3t12,3.0,12.0,0.0,3.0,1.0,5.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0
34,13.0,3.0,13.0,1.0,195.22581452035817,-0.33470241519223726,6.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0
35,13.0,3.0,11.0,0.0,142.88154243097492,0.5815762917537988,3.0,g3t13,3.0,13.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0
36,3.0,4.0,10.0,1.0,91.31873748201401,-0.49173191460988025,3.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0
37,3.0,4.0,7.0,0.0,104.64034720778426,0.186619747587504,1.0,g4t3,4.0,3.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0
38,4.0,4.0,9.0,1.0,92.83483382285455,0.5580163427600527,0.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
39,4.0,4.0,7.0,0.0,114.72981446621903,0.5580163427600527,0.0,g4t4,4.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0
40,5.0,4.0,6.0,1.0,94.5337259452943,0.5097548676477698,3.0,g4t5,4.0,5.0,2.0,3.0,0.0,5.0,4.0,5.0,0.0,3.0,4.0,0.0,0.0
41,5.0,4.0,10.0,0.0,104.91024505566868,0.4245813989547734,5.0,g4t5,4.0,5.0,2.0,3.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0
42,7.0,4.0,10.0,1.0,95.99668054357102,0.4747769897232469,4.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
43,7.0,4.0,14.0,0.0,106.13822974479208,-0.41976461779454705,5.0,g4t7,4.0,7.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
44,8.0,4.0,19.0,1.0,94.96465533946535,-0.26029142809056804,2.0,g4t8,4.0,8.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0
45,8.0,4.0,24.0,0.0,109.60645162016242,0.3786102083458506,3.0,g4t8,4.0,8.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0
46,9.0,4.0,9.0,1.0,100.76911455719511,-0.32682294408929835,2.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,0.0,1.0,0.0
47,9.0,4.0,8.0,0.0,102.69556604222188,0.3178180389226723,3.0,g4t9,4.0,9.0,0.0,5.0,0.0,5.0,4.0,5.0,4.0,4.0,0.0,1.0,0.0
48,10.0,4.0,25.0,1.0,98.09489630481731,0.27583106907926513,5.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,2.0,3.0,4.0,0.0,2.0,1.0
49,10.0,4.0,27.0,0.0,108.923520070015,0.2707831564215263,4.0,g4t10,4.0,10.0,2.0,4.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
50,11.0,4.0,12.0,1.0,100.96421638919662,0.5427786883003171,0.0,g4t11,4.0,11.0,0.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0,1.0,0.0,2.0
51,11.0,4.0,10.0,0.0,113.21596307599799,0.5735049942483692,1.0,g4t11,4.0,11.0,0.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,1.0,0.0,1.0
52,12.0,4.0,10.0,1.0,101.07837158324945,-0.33930020687756396,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,0.0
53,12.0,4.0,22.0,0.0,101.8159541023419,0.3235953974231795,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0
