,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
0,10.0,1.0,5.0,1.0,0.242759675785,0.344037821192,0.0,g1t10,1.0,10.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0
1,10.0,1.0,6.0,0.0,0.165475470373,0.923340896064,1.0,g1t10,1.0,10.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
2,12.0,1.0,7.0,1.0,0.205926644,-0.648397048738,3.0,g1t12,1.0,12.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,0.0,1.0
3,12.0,1.0,7.0,0.0,0.171901794063,0.466111489226,0.0,g1t12,1.0,12.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,1.0,0.0
4,13.0,1.0,6.0,1.0,0.230338725032,0.35397600258,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0
5,13.0,1.0,6.0,0.0,0.199583763263,0.64034613519,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0
6,3.0,2.0,6.0,1.0,0.0925488822708,-0.731717078706,1.0,g2t3,2.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,0.0,3.0
7,3.0,2.0,6.0,0.0,0.112783931761,-0.235132346677,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0
8,4.0,2.0,23.0,1.0,0.113993007166,0.287202980473,6.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0
9,4.0,2.0,19.0,0.0,0.0993720764512,0.372010941023,1.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0
10,7.0,2.0,8.0,1.0,0.091775613986,0.309760523423,0.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0
11,7.0,2.0,8.0,0.0,0.0987069552257,0.309760523423,0.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
12,8.0,2.0,57.0,1.0,0.161635438459,0.148868923739,0.0,g2t8,2.0,8.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0
13,8.0,2.0,52.0,0.0,0.0988781277221,-0.174534502637,5.0,g2t8,2.0,8.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0
14,10.0,2.0,28.0,1.0,0.116424228869,-0.367744720114,5.0,g2t10,2.0,10.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0
