,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
0,10.0,1.0,5.0,1.0,5.978489004529617,-0.2977228828852654,0.0,g1t10,1.0,10.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0
1,10.0,1.0,6.0,0.0,5.41729314378667,-0.49994045589930036,1.0,g1t10,1.0,10.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
2,12.0,1.0,7.0,1.0,5.645159287201543,0.8253634515310481,0.0,g1t12,1.0,12.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,0.0,1.0
3,12.0,1.0,7.0,0.0,4.47113786809505,0.8253634515310481,0.0,g1t12,1.0,12.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,1.0,0.0
4,13.0,1.0,6.0,1.0,4.479145253669529,0.6898125566044951,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0
5,13.0,1.0,6.0,0.0,7.2183221226775665,0.3828202732789133,0.0,g1t13,1.0,13.0,4.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0
6,3.0,2.0,6.0,1.0,3.946759305726925,0.39597283979206965,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,0.0,3.0
7,3.0,2.0,6.0,0.0,4.616869743303377,0.8482520423944006,1.0,g2t3,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0
8,4.0,2.0,23.0,1.0,4.2835615111270915,0.3503126079582751,0.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0
9,4.0,2.0,19.0,0.0,4.67519121787556,0.3503126079582751,0.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0
10,7.0,2.0,8.0,1.0,4.46669233731222,0.3212687657456858,2.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0
11,7.0,2.0,8.0,0.0,4.004216469603325,-0.4562835537475695,3.0,g2t7,2.0,7.0,0.0,5.0,0.0,5.0,5.0,5.0,3.0,4.0,1.0,0.0,0.0
12,8.0,2.0,57.0,1.0,4.63687901518401,0.34089066861984274,1.0,g2t8,2.0,8.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0
13,8.0,2.0,52.0,0.0,4.281306439451329,-0.17747463279470668,1.0,g2t8,2.0,8.0,2.0,5.0,4.0,2.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0
