,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
0,10.0,1.0,5.0,1.0,12.17261358075523,-0.7693943557517869,0.0,g1t10,1.0,10.0,2.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,2.0,0.0,1.0
1,10.0,1.0,6.0,0.0,7.788826033556104,-0.7693943557517869,0.0,g1t10,1.0,10.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
2,12.0,1.0,7.0,1.0,13.476839717895615,-0.35669454390333205,1.0,g1t12,1.0,12.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,0.0,1.0
3,12.0,1.0,7.0,0.0,6.241858838747519,0.2543816809963288,2.0,g1t12,1.0,12.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,0.0,1.0,0.0
4,13.0,1.0,6.0,1.0,9.111693253799764,0.7732016763598167,1.0,g1t13,1.0,13.0,4.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0
5,13.0,1.0,6.0,0.0,7.18592674413606,-0.07556138553715927,2.0,g1t13,1.0,13.0,4.0,0.0,3.0,4.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0
6,3.0,2.0,6.0,1.0,11.319528000249862,0.7683386995629142,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,0.0,3.0
7,3.0,2.0,6.0,0.0,6.816248176845647,0.7683386995629142,0.0,g2t3,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,0.0,0.0,0.0
8,4.0,2.0,23.0,1.0,11.030506383617418,0.38686162405342617,4.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0
9,4.0,2.0,19.0,0.0,9.9950069979693,-0.3287095093607367,0.0,g2t4,2.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0
